item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
SREALITY521243740,https://www.sreality.cz/detail/prodej/byt/3+1/praha-chodov-doubravicka/521243740#img=0&fullscreen=false,3+1,4700000,64,73437,N/A,Doubravická,Praha 4,Chodov
SREALITY1181183068,https://www.sreality.cz/detail/prodej/byt/3+1/praha-chodov-nechvilova/1181183068#img=0&fullscreen=false,3+1,4990000,66,75606,N/A,Nechvílova,Praha 4,Chodov
SREALITY1771072604,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-smichov-plzenska/1771072604#img=0&fullscreen=false,1+kk,3882000,19,204315,N/A,Plzeňská,Praha 5,Smíchov
SREALITY2273595228,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-rohanske-nabrezi/2273595228#img=0&fullscreen=false,3+kk,16750000,127,131889,N/A,Rohanské nábřeží,Praha 8,Karlín
SREALITY3038719580,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-stefanikova/3038719580#img=0&fullscreen=false,2+kk,6650000,52,127884,"RK Alternatiff, s.r.o.",Štefánikova,Praha 5,Smíchov
SREALITY961813596,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-mala-strana-plaska/961813596#img=0&fullscreen=false,3+kk,12690000,93,136451,"RK Alternatiff, s.r.o.",Plaská,Praha 5,Malá Strana
SREALITY1367370844,https://www.sreality.cz/detail/prodej/byt/3+1/praha-hlubocepy-pivcova/1367370844#img=0&fullscreen=false,3+1,5100000,85,60000,N/A,Pivcova,Praha 5,Hlubočepy
SREALITY1108790364,https://www.sreality.cz/detail/prodej/byt/1+1/praha-stresovice-stresovicka/1108790364#img=0&fullscreen=false,1+1,3282000,27,121555,N/A,Střešovická,Praha 6,Střešovice
SREALITY1299041884,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-borivojova/1299041884#img=0&fullscreen=false,1+kk,7673000,73,105109,"PSN, s.r.o.",Bořivojova,Praha 3,Žižkov
SREALITY3944496732,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kosire-slavy-hornika/3944496732#img=0&fullscreen=false,4+kk,12587219,113,111391,Real-Treuhand Reality,Slávy Horníka,Praha 5,Košíře
SREALITY1580760156,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kosire-tumova/1580760156#img=0&fullscreen=false,2+kk,8529113,65,131217,Real-Treuhand Reality,Tůmova,Praha 5,Košíře
SREALITY405306460,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-slavy-hornika/405306460#img=0&fullscreen=false,3+kk,8694064,81,107334,Real-Treuhand Reality,Slávy Horníka,Praha 5,Košíře
SREALITY3816324188,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kosire-musilkova/3816324188#img=0&fullscreen=false,2+kk,7564873,61,124014,Real-Treuhand Reality,Musílkova,Praha 5,Košíře
SREALITY801733724,https://www.sreality.cz/detail/prodej/byt/atypická/praha-kosire-musilkova/801733724#img=0&fullscreen=false,atypická,10752390,N/A,N/A,Real-Treuhand Reality,Musílkova,Praha 5,Košíře
SREALITY1165639260,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kosire-slavy-hornika/1165639260#img=0&fullscreen=false,4+kk,11194891,102,109753,Real-Treuhand Reality,Slávy Horníka,Praha 5,Košíře
SREALITY1199193692,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-musilkova/1199193692#img=0&fullscreen=false,3+kk,9587596,87,110202,Real-Treuhand Reality,Musílkova,Praha 5,Košíře
SREALITY4184489564,https://www.sreality.cz/detail/prodej/byt/atypická/praha-kosire-slavy-hornika/4184489564#img=0&fullscreen=false,atypická,12896680,N/A,N/A,Real-Treuhand Reality,Slávy Horníka,Praha 5,Košíře
SREALITY142229084,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kosire-musilkova/142229084#img=0&fullscreen=false,4+kk,11268045,97,116165,Real-Treuhand Reality,Musílkova,Praha 5,Košíře
SREALITY4286201436,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kosire-tumova/4286201436#img=0&fullscreen=false,1+kk,5776128,50,115522,Real-Treuhand Reality,Tůmova,Praha 5,Košíře
SREALITY1043783260,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-holeckova/1043783260#img=0&fullscreen=false,4+kk,24982978,173,144410,Real-Treuhand Reality,Holečkova,Praha 5,Smíchov
SREALITY3452210780,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-holeckova/3452210780#img=0&fullscreen=false,2+kk,8996664,86,104612,Real-Treuhand Reality,Holečkova,Praha 5,Smíchov
SREALITY3285487196,https://www.sreality.cz/detail/prodej/byt/atypická/praha-smichov-holeckova/3285487196#img=0&fullscreen=false,atypická,7992357,N/A,N/A,Real-Treuhand Reality,Holečkova,Praha 5,Smíchov
SREALITY2132557404,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-slavy-hornika/2132557404#img=0&fullscreen=false,3+kk,8977107,82,109476,Real-Treuhand Reality,Slávy Horníka,Praha 5,Košíře
SREALITY1465486428,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-kuzelova/1465486428#img=0&fullscreen=false,1+kk,2350000,22,106818,N/A,Kuželova,Praha 9,Letňany
SREALITY1025993820,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kamyk-zarubova/1025993820#img=0&fullscreen=false,2+kk,3600000,41,87804,N/A,Zárubova,Praha 4,Kamýk
SREALITY1163463772,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-jazlovicka/1163463772#img=0&fullscreen=false,3+kk,4850000,66,73484,N/A,Jažlovická,Praha 4,Chodov
SREALITY2972089436,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-chodov-donovalska/2972089436#img=0&fullscreen=false,3+kk,6290000,80,78625,N/A,Donovalská,Praha 4,Chodov
SREALITY242892380,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kosire-tumova/242892380#img=0&fullscreen=false,1+kk,4735746,41,115506,Real-Treuhand Reality,Tůmova,Praha 5,Košíře
SREALITY3426610268,https://www.sreality.cz/detail/prodej/byt/atypická/praha-nove-mesto-dlazdena/3426610268#img=0&fullscreen=false,atypická,18184000,N/A,N/A,"PSN, s.r.o.",Dlážděná,Praha 1,Nové Město
SREALITY163015772,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nusle-krokova/163015772#img=0&fullscreen=false,1+kk,4350000,30,145000,Reality 11 VLTAVA,Krokova,Praha 2,Nusle
SREALITY2946894940,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-karlin-pobrezni/2946894940#img=0&fullscreen=false,3+kk,7200000,79,91139,N/A,Pobřežní,Praha 8,Karlín
SREALITY4173827164,https://www.sreality.cz/detail/prodej/byt/2+1/praha-dejvice-mydlarka/4173827164#img=0&fullscreen=false,2+1,7990000,78,102435,RK Mandík - Realitní kancelář,Mydlářka,Praha 6,Dejvice
SREALITY2695326812,https://www.sreality.cz/detail/prodej/byt/atypická/praha-zizkov-cajkovskeho/2695326812#img=0&fullscreen=false,atypická,16000000,N/A,N/A,N/A,Čajkovského,Praha 3,Žižkov
SREALITY2094492764,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-bubenec-terronska/2094492764#img=0&fullscreen=false,2+kk,7000000,55,127272,Svoboda & Williams,Terronská,Praha 6,Bubeneč
SREALITY4057427036,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-karlin-molakova/4057427036#img=0&fullscreen=false,1+kk,3650000,28,130357,N/A,Molákova,Praha 8,Karlín
SREALITY2041347164,https://www.sreality.cz/detail/prodej/byt/3+1/praha-cerny-most-bojcenkova/2041347164#img=0&fullscreen=false,3+1,6299000,89,70775,N/A,Bojčenkova,Praha 9,Černý Most
SREALITY3084246620,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dolni-chabry-k-beranovu/3084246620#img=0&fullscreen=false,3+kk,8450000,84,100595,N/A,K Beranovu,Praha 8,Dolní Chabry
SREALITY1774677084,https://www.sreality.cz/detail/prodej/byt/1+1/praha-letnany-havirovska/1774677084#img=0&fullscreen=false,1+1,3850000,36,106944,N/A,Havířovská,Praha 9,Letňany
SREALITY3925306460,https://www.sreality.cz/detail/prodej/byt/3+1/praha-dolni-mecholupy-za-kovarnou/3925306460#img=0&fullscreen=false,3+1,9750000,118,82627,N/A,Za Kovárnou,Praha 10,Dolní Měcholupy
SREALITY2272648796,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-chabry-k-beranovu/2272648796#img=0&fullscreen=false,2+kk,6850000,56,122321,N/A,K Beranovu,Praha 8,Dolní Chabry
SREALITY1254481500,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-dolni-chabry-k-beranovu/1254481500#img=0&fullscreen=false,1+kk,4180000,39,107179,N/A,K Beranovu,Praha 8,Dolní Chabry
SREALITY3920944732,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-chabry-k-beranovu/3920944732#img=0&fullscreen=false,2+kk,6950000,60,115833,N/A,K Beranovu,Praha 8,Dolní Chabry
SREALITY2109005404,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-dolni-chabry-k-beranovu/2109005404#img=0&fullscreen=false,4+kk,9500000,105,90476,N/A,K Beranovu,Praha 8,Dolní Chabry
SREALITY3451182684,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-dolni-chabry-k-beranovu/3451182684#img=0&fullscreen=false,4+kk,9220000,105,87809,N/A,K Beranovu,Praha 8,Dolní Chabry
SREALITY2318229084,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-chodov-blazimska/2318229084#img=0&fullscreen=false,2+kk,4490000,43,104418,N/A,Blažimská,Praha 4,Chodov
SREALITY1974488924,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-karlin-krizikova/1974488924#img=0&fullscreen=false,1+kk,1,30,0,FINEO BYDLENÍ s.r.o.,Křižíkova,Praha 8,Karlín
SREALITY3588062300,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-bubenec-ceskomalinska/3588062300#img=0&fullscreen=false,2+kk,4490000,47,95531,Private Estate,Českomalínská,Praha 6,Bubeneč
SREALITY1987952476,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kosire-musilkova/1987952476#img=0&fullscreen=false,3+kk,8297213,76,109173,Real-Treuhand Reality,Musílkova,Praha 5,Košíře
SREALITY2988899932,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-perucka/2988899932#img=0&fullscreen=false,1+kk,2864000,26,110153,"PSN, s.r.o.",Perucká,Praha 2,Vinohrady
SREALITY3664215132,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-stodulky-anny-rybnickove/3664215132#img=0&fullscreen=false,3+kk,8490000,71,119577,"Trade Expert, s.r.o.",Anny Rybníčkové,Praha 5,Stodůlky
SREALITY2552455004,https://www.sreality.cz/detail/prodej/byt/2+1/praha-nusle-taborska/2552455004#img=0&fullscreen=false,2+1,4950000,73,67808,"Trade Expert, s.r.o.",Táborská,Praha 4,Nusle
SREALITY3795217500,https://www.sreality.cz/detail/prodej/byt/atypická/praha-vinohrady-/3795217500#img=0&fullscreen=false,atypická,8500000,N/A,N/A,N/A,,Praha 3,Vinohrady
SREALITY3566684,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-ruzyne-drnovska/3566684#img=0&fullscreen=false,2+kk,5750000,57,100877,N/A,Drnovská,Praha 6,Ruzyně
SREALITY1317654364,https://www.sreality.cz/detail/prodej/byt/4+1/praha-brevnov-brevnovska/1317654364#img=0&fullscreen=false,4+1,14490000,129,112325,N/A,Břevnovská,Praha 6,Břevnov
SREALITY1754062428,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nove-mesto-na-morani/1754062428#img=0&fullscreen=false,4+kk,10990000,97,113298,N/A,Na Moráni,Praha 2,Nové Město
SREALITY2315571036,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-spanelska/2315571036#img=0&fullscreen=false,1+kk,2970000,16,185625,N/A,Španělská,Praha 2,Vinohrady
IDNES5fddb513288e6870e40c6793,https://reality.idnes.cz/detail/prodej/byt/praha-4-nad-lesnim-divadlem/5fddb513288e6870e40c6793/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,1+kk 24 m²,2690000,N/A,N/A,KUZO Partners s.r.o.,Nad lesním divadlem,Praha 4,"Braník, okres Praha"
IDNES5f499295558f073e6b331833,https://reality.idnes.cz/detail/prodej/byt/praha-7-u-pergamenky/5f499295558f073e6b331833/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,4+kk 113 m²,12046441,N/A,N/A,AdInternet s.r.o.,U Pergamenky,Praha 7,Holešovice
IDNES5e861fe7558f076b1b17b5a2,https://reality.idnes.cz/detail/prodej/byt/praha-8-k-beranovu/5e861fe7558f076b1b17b5a2/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,4+kk 103 m²,10990000,N/A,N/A,HVB Real Estate s.r.o.,K Beranovu,Praha 8,"Dolní Chabry, okres Praha"
IDNES5eba5b5137ba4d6edb61b823,https://reality.idnes.cz/detail/prodej/byt/praha-5-podbelohorska/5eba5b5137ba4d6edb61b823/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,3+kk 70 m²,10123496,N/A,N/A,JRD Development s.r.o.,Podbělohorská,Praha 5,Smíchov
IDNES5d10c68b558f0725531af133,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5d10c68b558f0725531af133/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,2+kk 57 m²,5582790,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5cf62f8837ba4d2ea6538a97,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5cf62f8837ba4d2ea6538a97/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,2+kk 56 m²,5728055,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5d1c6e5b558f07549a261ff3,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5d1c6e5b558f07549a261ff3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,1+kk 37 m²,3770548,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5f4596aa37ba4d16e66c9383,https://reality.idnes.cz/detail/prodej/byt/praha-5-voskovcova/5f4596aa37ba4d16e66c9383/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,2+kk 50 m²,4746769,N/A,N/A,AdInternet s.r.o.,Voskovcova,Praha 5,Hlubočepy
IDNES5fbe267f67c8ab33682b3f32,https://reality.idnes.cz/detail/prodej/byt/praha-5-janackovo-nabrezi/5fbe267f67c8ab33682b3f32/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,3+1 117 m²,15650000,N/A,N/A,Real Homes & Estate s.r.o.,Janáčkovo nábřeží,Praha 5,Smíchov
IDNES5f7393da7527fd2533652063,https://reality.idnes.cz/detail/prodej/byt/praha-6/5f7393da7527fd2533652063/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,3+1 135 m²,15500000,N/A,N/A,CENTURY 21 Czech Republic,,Praha 6,Břevnov
IDNES5fa505d7a6109127964f94e3,https://reality.idnes.cz/detail/prodej/byt/praha-6-terronska/5fa505d7a6109127964f94e3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=57,2+1 60 m²,5975000,N/A,N/A,RE/MAX Czech Republic,Terronská,Praha 6,Bubeneč
IDNES5fdd3ba22bb686246b730723,https://reality.idnes.cz/detail/prodej/byt/praha-5-devonska/5fdd3ba22bb686246b730723/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,4+kk 269 m²,27500000,N/A,N/A,"FARAON reality, s.r.o.",Devonská,Praha 5,Hlubočepy
IDNES5fdd29eb3aa3911e3f69fe43,https://reality.idnes.cz/detail/prodej/byt/praha-5-kurzova/5fdd29eb3aa3911e3f69fe43/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+1 77 m²,N/A,N/A,N/A,M&M reality holding a. s.,Kurzova,Praha 5,Stodůlky
IDNES5fb2f143d3f5f326be107283,https://reality.idnes.cz/detail/prodej/byt/praha-6-jugoslavskych-partyzanu/5fb2f143d3f5f326be107283/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,2+1 85 m²,7798000,N/A,N/A,QARA,Jugoslávských partyzánů,Praha 6,Bubeneč
IDNES5fc780bc3db5cc4f4470e817,https://reality.idnes.cz/detail/prodej/byt/praha-6-adamova/5fc780bc3db5cc4f4470e817/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+kk 113 m²,13990000,N/A,N/A,QARA,Adamova,Praha 6,Veleslavín
IDNES5fdd19556d246a26ae3e1663,https://reality.idnes.cz/detail/prodej/byt/praha-4-horackova/5fdd19556d246a26ae3e1663/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,1+1 40 m²,4350000,N/A,N/A,HLEDAMBYT.cz,Horáčkova,Praha 4,Krč
IDNES5f04fd49558f07782757f4c5,https://reality.idnes.cz/detail/prodej/byt/praha-6-drnovska/5f04fd49558f07782757f4c5/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,1+kk 35 m²,3829349,N/A,N/A,AdInternet s.r.o.,Drnovská,Praha 6,Ruzyně
IDNES5f6b4102fd86ba71bc5c2c13,https://reality.idnes.cz/detail/prodej/byt/praha-10/5f6b4102fd86ba71bc5c2c13/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+1 73 m²,N/A,N/A,N/A,AREZIDENCE,,Praha 10,Vršovice
IDNES5f4596ed37ba4d1dd912a963,https://reality.idnes.cz/detail/prodej/byt/praha-5-voskovcova/5f4596ed37ba4d1dd912a963/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,1+kk 33 m²,3386234,N/A,N/A,AdInternet s.r.o.,Voskovcova,Praha 5,Hlubočepy
IDNES5fa076e33538f8696a554702,https://reality.idnes.cz/detail/prodej/byt/praha-7-delnicka/5fa076e33538f8696a554702/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+1 85 m²,7890000,N/A,N/A,"AKRO REALITY, s.r.o.",Dělnická,Praha 7,Holešovice
IDNES5f7b4875ec224c53a124a293,https://reality.idnes.cz/detail/prodej/byt/praha-10/5f7b4875ec224c53a124a293/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+kk 78 m²,N/A,N/A,N/A,AREZIDENCE,,Praha 10,Vršovice
IDNES5fc2e3570bb8eb1f9921c6ca,https://reality.idnes.cz/detail/prodej/byt/praha-8-sokolovska/5fc2e3570bb8eb1f9921c6ca/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,4+1 115 m²,11900000,N/A,N/A,RE/MAX Czech Republic,Sokolovská,Praha 8,Karlín
IDNES5f04face558f07633a61c543,https://reality.idnes.cz/detail/prodej/byt/praha-6-drnovska/5f04face558f07633a61c543/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+kk 80 m²,7861909,N/A,N/A,AdInternet s.r.o.,Drnovská,Praha 6,Ruzyně
IDNES5fac761a9f6897075d142cd3,https://reality.idnes.cz/detail/prodej/byt/praha-5-svitakova/5fac761a9f6897075d142cd3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+kk 92 m²,8712684,N/A,N/A,AdInternet s.r.o.,Svitákova,Praha 5,Stodůlky
IDNES5f7d88ea45cca20ab7566f83,https://reality.idnes.cz/detail/prodej/byt/praha-1-u-obecniho-dvora/5f7d88ea45cca20ab7566f83/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,2+1 76 m²,10498000,N/A,N/A,Šolc REALITY s.r.o.,U obecního dvora,Praha 1,"Staré Město, okres Praha"
IDNES5f202dad37ba4d3f1d00b2b3,https://reality.idnes.cz/detail/prodej/byt/praha-10-frantiska-jansy/5f202dad37ba4d3f1d00b2b3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,2+kk 71 m²,3500000,N/A,N/A,DUNA HOUSE,Františka Jansy,Praha 10,Dolní Měcholupy
IDNES5f04faf7558f0766992ddd03,https://reality.idnes.cz/detail/prodej/byt/praha-6-drnovska/5f04faf7558f0766992ddd03/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,1+kk 38 m²,4230658,N/A,N/A,AdInternet s.r.o.,Drnovská,Praha 6,Ruzyně
IDNES5f2c8d3b558f070bd5480c73,https://reality.idnes.cz/detail/prodej/byt/praha-5-graficka/5f2c8d3b558f070bd5480c73/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,3+kk 94 m²,11136600,N/A,N/A,"CRESTYL real estate, s.r.o.",Grafická,Praha 5,Smíchov
IDNES5fdd06c31c30e5497a6c4ef7,https://reality.idnes.cz/detail/prodej/byt/praha-4-vecerni/5fdd06c31c30e5497a6c4ef7/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,2+1 68 m²,6798000,N/A,N/A,M&M reality holding a. s.,Večerní,Praha 4,Hodkovičky
IDNES5f8732286b0745636115e253,https://reality.idnes.cz/detail/prodej/byt/praha-3-sudomerska/5f8732286b0745636115e253/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,4+kk 80 m²,9390000,N/A,N/A,CENTURY 21 Czech Republic,Sudoměřská,Praha 3,Žižkov
IDNES5f8ff80827d8ff2eec1cc123,https://reality.idnes.cz/detail/prodej/byt/praha-10-cernokostelecka/5f8ff80827d8ff2eec1cc123/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=58,2+1 83 m²,9290000,N/A,N/A,CENTURY 21 Czech Republic,Černokostelecká,Praha 10,Strašnice
IDNES5f7edc3c469f2b46d445cae3,https://reality.idnes.cz/detail/prodej/byt/praha-9-klanovicka/5f7edc3c469f2b46d445cae3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=59,3+kk 70 m²,5450000,N/A,N/A,Reality Pomazal,Klánovická,Praha 9,Hloubětín
IDNES5f2c8c28558f0701564a5943,https://reality.idnes.cz/detail/prodej/byt/praha-5-graficka/5f2c8c28558f0701564a5943/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=59,2+kk 57 m²,7401500,N/A,N/A,"CRESTYL real estate, s.r.o.",Grafická,Praha 5,Smíchov
IDNES5fdcf53a9a25e519171ecf93,https://reality.idnes.cz/detail/prodej/byt/praha-4-mnichovicka/5fdcf53a9a25e519171ecf93/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=59,2+kk 43 m²,3810000,N/A,N/A,A.Realitní s.r.o.- Advokátní realitní,Mnichovická,Praha 4,Háje
SREALITY3424771164,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kobylisy-klapkova/3424771164#img=0&fullscreen=false,1+kk,3200000,31,103225,N/A,Klapkova,Praha 8,Kobylisy
SREALITY2377346140,https://www.sreality.cz/detail/prodej/byt/2+1/praha-zabehlice-jasminova/2377346140#img=0&fullscreen=false,2+1,4400000,54,81481,N/A,Jasmínová,Praha 10,Záběhlice
SREALITY3039194204,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strizkov-strizkovska/3039194204#img=0&fullscreen=false,3+kk,12990000,271,47933,N/A,Střížkovská,Praha 8,Střížkov
SREALITY3639114844,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-letnany-standerova/3639114844#img=0&fullscreen=false,1+kk,3670000,40,91750,N/A,Štanderova,Praha 9,Letňany
SREALITY1145465948,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-dablice-na-stamberku/1145465948#img=0&fullscreen=false,4+kk,12790000,99,129191,N/A,Na Štamberku,Praha 8,Ďáblice
SREALITY1333165148,https://www.sreality.cz/detail/prodej/byt/4+1/praha-stodulky-chalabalova/1333165148#img=0&fullscreen=false,4+1,6990000,101,69207,N/A,Chalabalova,Praha 5,Stodůlky
SREALITY4289252956,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-na-belidle/4289252956#img=0&fullscreen=false,4+kk,16990000,113,150353,Happy House Rentals s.r.o. realitní kancelář,Na Bělidle,Praha 5,Smíchov
SREALITY2191047772,https://www.sreality.cz/detail/prodej/byt/4+1/praha-kunratice-golcova/2191047772#img=0&fullscreen=false,4+1,13450400,146,92126,Happy House Rentals s.r.o. realitní kancelář,Golčova,Praha 4,Kunratice
SREALITY2444766300,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-v-pristavu/2444766300#img=0&fullscreen=false,2+kk,10490000,72,145694,Happy House Rentals s.r.o. realitní kancelář,V Přístavu,Praha 7,Holešovice
SREALITY230179164,https://www.sreality.cz/detail/prodej/byt/5+1/praha-mala-strana-nerudova/230179164#img=0&fullscreen=false,5+1,1,145,0,Happy House Rentals s.r.o. realitní kancelář,Nerudova,Praha 1,Malá Strana
SREALITY4141091932,https://www.sreality.cz/detail/prodej/byt/2+1/praha-suchdol-kamycka/4141091932#img=0&fullscreen=false,2+1,4500000,54,83333,Happy House Rentals s.r.o. realitní kancelář,Kamýcká,Praha 6,Suchdol
SREALITY2236415068,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-kotlaska/2236415068#img=0&fullscreen=false,3+kk,5650000,55,102727,N/A,Kotlaska,Praha 8,Libeň
SREALITY1402338908,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-jinonice-peroutkova/1402338908#img=0&fullscreen=false,2+kk,4939000,68,72632,"PSN, s.r.o.",Peroutkova,Praha 5,Jinonice
SREALITY1036414044,https://www.sreality.cz/detail/prodej/byt/atypická/praha-smichov-stefanikova/1036414044#img=0&fullscreen=false,atypická,13365000,N/A,N/A,N/A,Štefánikova,Praha 5,Smíchov
SREALITY2363939932,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-kovarska/2363939932#img=0&fullscreen=false,2+kk,5874300,49,119883,GARTAL,Kovářská,Praha 9,Libeň
SREALITY1371115100,https://www.sreality.cz/detail/prodej/byt/atypická/praha-dolni-pocernice-/1371115100#img=0&fullscreen=false,atypická,12534585,N/A,N/A,N/A,,Praha 9,Dolní Počernice
SREALITY451124316,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-koubkova/451124316#img=0&fullscreen=false,2+kk,5090000,39,130512,N/A,Koubkova,Praha 2,Nové Město
SREALITY1509321820,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hajek-u-uhrinevsi-/1509321820#img=0&fullscreen=false,3+kk,5990000,58,103275,N/A,,Praha 10,Hájek u Uhříněvsi
SREALITY3735624796,https://www.sreality.cz/detail/prodej/byt/3+1/praha-cerny-most-bryksova/3735624796#img=0&fullscreen=false,3+1,5750000,85,67647,"REDOT, s.r.o.",Bryksova,Praha 9,Černý Most
SREALITY1935408988,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-troja-hnezdenska/1935408988#img=0&fullscreen=false,1+kk,4990000,46,108478,N/A,Hnězdenská,Praha 8,Troja
SREALITY938896476,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hajek-u-uhrinevsi-/938896476#img=0&fullscreen=false,2+kk,4990000,44,113409,N/A,,Praha 10,Hájek u Uhříněvsi
SREALITY3226434652,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-pod-karlovem/3226434652#img=0&fullscreen=false,2+kk,4790000,46,104130,REALITY A FINANCE / REAF.CZ,Pod Karlovem,Praha 2,Vinohrady
SREALITY3549843036,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-kosire-slavy-hornika/3549843036#img=0&fullscreen=false,2+kk,7500000,96,78125,N/A,Slávy Horníka,Praha 5,Košíře
SREALITY1455914076,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-korunni/1455914076#img=0&fullscreen=false,2+kk,7490000,56,133750,N/A,Korunní,Praha 2,Vinohrady
