item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
IDNES5f2c8db937ba4d5c34303903,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8db937ba4d5c34303903/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,2+kk 61 m²,7691200,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5f52269ba79c346f800c3652,https://reality.idnes.cz/detail/prodej/byt/praha-3-v-horni-stromce/5f52269ba79c346f800c3652/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,1+kk 24 m²,2990000,N/A,N/A,HVB Real Estate s.r.o.,V Horní Stromce,Praha 3,"Vinohrady, okres Praha"
IDNES5f5ceb671f04db14394c89e3,https://reality.idnes.cz/detail/prodej/byt/praha-10-finska/5f5ceb671f04db14394c89e3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,3+kk 129 m²,13900000,N/A,N/A,HERRYS s.r.o.,Finská,Praha 10,Vršovice
IDNES5f2c8e7e37ba4d65936d3533,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8e7e37ba4d65936d3533/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,4+kk 111 m²,12906900,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5fc3c7b7da97283eec6378c3,https://reality.idnes.cz/detail/prodej/byt/praha-8-smrckova/5fc3c7b7da97283eec6378c3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,2+kk 63 m²,11200000,N/A,N/A,DUNA HOUSE,Smrčkova,Praha 8,Libeň
IDNES5fe1fe972f518618d402e793,https://reality.idnes.cz/detail/prodej/byt/praha-9-pod-harfou/5fe1fe972f518618d402e793/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,1+kk 29 m²,4500000,N/A,N/A,DUNA HOUSE,Pod Harfou,Praha 9,Vysočany
IDNES5f89e52985728b5489348623,https://reality.idnes.cz/detail/prodej/byt/praha-8-sokolovska/5f89e52985728b5489348623/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,2+kk 63 m²,5868300,N/A,N/A,DUNA HOUSE,Sokolovská,Praha 8,Libeň
IDNES5f2c8e4237ba4d631504e0a3,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8e4237ba4d631504e0a3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,1+kk 36 m²,5239900,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5f7207388f1a687f7d489406,https://reality.idnes.cz/detail/prodej/byt/praha-10/5f7207388f1a687f7d489406/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,2+1 58 m²,6354900,N/A,N/A,AREZIDENCE,,Praha 10,Vršovice
IDNES5e1f4b6f37ba4d577e100a03,https://reality.idnes.cz/detail/prodej/byt/praha-4-na-formance/5e1f4b6f37ba4d577e100a03/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,3+kk 135 m²,10900000,N/A,N/A,CENTURY 21 Czech Republic,Na Formance,Praha 4,Újezd u Průhonic
IDNES5fde2e2da476656d7c54df63,https://reality.idnes.cz/detail/prodej/byt/praha-5-renoirova/5fde2e2da476656d7c54df63/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,2+kk 45 m²,3900000,N/A,N/A,DUNA HOUSE,Renoirova,Praha 5,Hlubočepy
IDNES5f7c53de1b2e2e3c58438ce3,https://reality.idnes.cz/detail/prodej/byt/praha-9-zacharska/5f7c53de1b2e2e3c58438ce3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,3+kk 67 m²,5390000,N/A,N/A,NEXT REALITY GROUP a.s.,Zacharská,Praha 9,Kyje
IDNES5f48cb18558f072bcb00d0a3,https://reality.idnes.cz/detail/prodej/byt/praha-3-slezska/5f48cb18558f072bcb00d0a3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,2+1 80 m²,9900000,N/A,N/A,DUNA HOUSE,Slezská,Praha 3,Vinohrady
IDNES5f04fae9558f07667b5533b3,https://reality.idnes.cz/detail/prodej/byt/praha-6-drnovska/5f04fae9558f07667b5533b3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,2+kk 54 m²,4931757,N/A,N/A,AdInternet s.r.o.,Drnovská,Praha 6,Ruzyně
IDNES5f3f8ffc37ba4d73931d4b53,https://reality.idnes.cz/detail/prodej/byt/praha-2-chodska/5f3f8ffc37ba4d73931d4b53/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,3+1 85 m²,8899000,N/A,N/A,Keller Williams Czech Republic,Chodská,Praha 2,Vinohrady
IDNES5f9800f361e4f81b7e429173,https://reality.idnes.cz/detail/prodej/byt/praha-6-marikova/5f9800f361e4f81b7e429173/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,3+1 74 m²,6990000,N/A,N/A,DUNA HOUSE,Maříkova,Praha 6,Veleslavín
SREALITY2811752028,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-prosek-litomericka/2811752028#img=0&fullscreen=false,3+kk,10900000,90,121111,N/A,Litoměřická,Praha 9,Prosek
SREALITY1078754908,https://www.sreality.cz/detail/prodej/byt/3+1/praha-smichov-pod-trati/1078754908#img=0&fullscreen=false,3+1,8300000,75,110666,N/A,Pod tratí,Praha 5,Smíchov
SREALITY3804069468,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-strasnice-prusicka/3804069468#img=0&fullscreen=false,2+kk,1,49,0,N/A,Prusická,Praha,Strašnice
SREALITY1805045340,https://www.sreality.cz/detail/prodej/byt/3+1/praha-stresovice-stresovicka/1805045340#img=0&fullscreen=false,3+1,9500000,84,113095,N/A,Střešovická,Praha 6,Střešovice
SREALITY572337756,https://www.sreality.cz/detail/prodej/byt/2+kk/praha--kolbenova/572337756#img=0&fullscreen=false,2+kk,5846291,54,108264,YIT Stavo s.r.o.,Kolbenova,Praha,
SREALITY2904370780,https://www.sreality.cz/detail/prodej/byt/2+kk/praha--kolbenova/2904370780#img=0&fullscreen=false,2+kk,5501198,48,114608,YIT Stavo s.r.o.,Kolbenova,Praha,
SREALITY1830628956,https://www.sreality.cz/detail/prodej/byt/2+kk/praha--kolbenova/1830628956#img=0&fullscreen=false,2+kk,6043329,54,111913,YIT Stavo s.r.o.,Kolbenova,Praha,
SREALITY220016220,https://www.sreality.cz/detail/prodej/byt/2+kk/praha--kolbenova/220016220#img=0&fullscreen=false,2+kk,6140155,53,115851,YIT Stavo s.r.o.,Kolbenova,Praha,
SREALITY2887593564,https://www.sreality.cz/detail/prodej/byt/3+kk/praha--kolbenova/2887593564#img=0&fullscreen=false,3+kk,9031602,81,111501,YIT Stavo s.r.o.,Kolbenova,Praha,
SREALITY1074073180,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dolni-pocernice-cernodolska/1074073180#img=0&fullscreen=false,3+kk,9236492,90,102627,RE/MAX Art,Černodolská,Praha 9,Dolní Počernice
SREALITY2268401244,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-pocernice-cernodolska/2268401244#img=0&fullscreen=false,2+kk,5459717,56,97494,RE/MAX Art,Černodolská,Praha 9,Dolní Počernice
SREALITY3243576924,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-dolni-pocernice-cernodolska/3243576924#img=0&fullscreen=false,1+kk,3732507,39,95705,RE/MAX Art,Černodolská,Praha 9,Dolní Počernice
SREALITY180170332,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-stodulky-v-hurkach/180170332#img=0&fullscreen=false,1+kk,3954000,43,91953,N/A,V Hůrkách,Praha 5,Stodůlky
SREALITY3564196188,https://www.sreality.cz/detail/prodej/byt/4+1/praha-zizkov-u-rajske-zahrady/3564196188#img=0&fullscreen=false,4+1,24000000,201,119402,Svoboda & Williams,U Rajské zahrady,Praha 3,Žižkov
SREALITY969739868,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-pocernice-cernodolska/969739868#img=0&fullscreen=false,2+kk,4534050,50,90681,RE/MAX Art,Černodolská,Praha 9,Dolní Počernice
SREALITY4099739228,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-pocernice-cernodolska/4099739228#img=0&fullscreen=false,2+kk,6284136,65,96679,RE/MAX Art,Černodolská,Praha 9,Dolní Počernice
SREALITY122490460,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-dolni-pocernice-cernodolska/122490460#img=0&fullscreen=false,1+kk,3333587,34,98046,RE/MAX Art,Černodolská,Praha 9,Dolní Počernice
SREALITY1844788828,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-jinonice-peroutkova/1844788828#img=0&fullscreen=false,1+kk,2829000,24,117875,"PSN, s.r.o.",Peroutkova,Praha 5,Jinonice
SREALITY3113213532,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-trebonice-do-zahradek-i/3113213532#img=0&fullscreen=false,3+kk,7182670,65,110502,CENTRAL GROUP a.s.,Do zahrádek I,Praha 5,Třebonice
SREALITY2391793244,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-trebonice-do-zahradek-i/2391793244#img=0&fullscreen=false,1+kk,3323730,28,118704,CENTRAL GROUP a.s.,Do zahrádek I,Praha 5,Třebonice
SREALITY1873890908,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-novakovych/1873890908#img=0&fullscreen=false,3+kk,9700000,104,93269,N/A,Novákových,Praha 8,Libeň
SREALITY1559383644,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-wassermannova/1559383644#img=0&fullscreen=false,3+kk,1,63,0,YIT Stavo s.r.o.,Wassermannova,Praha,Hlubočepy
SREALITY507723356,https://www.sreality.cz/detail/prodej/byt/3+1/praha-nove-mesto-klimentska/507723356#img=0&fullscreen=false,3+1,1,123,0,Duna House,Klimentská,Praha 1,Nové Město
SREALITY3777777244,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-wassermannova/3777777244#img=0&fullscreen=false,2+kk,5115843,45,113685,YIT Stavo s.r.o.,Wassermannova,Praha,Hlubočepy
SREALITY2368491100,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-wassermannova/2368491100#img=0&fullscreen=false,2+kk,5505662,49,112360,YIT Stavo s.r.o.,Wassermannova,Praha,Hlubočepy
SREALITY3902754396,https://www.sreality.cz/detail/prodej/byt/2+1/praha-karlin-pernerova/3902754396#img=0&fullscreen=false,2+1,2700000,43,62790,N/A,Pernerova,Praha 8,Karlín
SREALITY3470024284,https://www.sreality.cz/detail/prodej/byt/3+1/praha-nove-mesto-legerova/3470024284#img=0&fullscreen=false,3+1,10490000,85,123411,N/A,Legerova,Praha 2,Nové Město
